distance_m,lon,lat,elevation_m
4800.00,517658.967388,5410490.292273,208.00
4830.00,517637.754184,5410469.079069,208.00
4860.00,517616.540981,5410447.865866,210.00
4890.00,517595.327777,5410426.652662,210.00
4920.00,517574.114574,5410405.439459,211.00
4950.00,517552.901370,5410384.226256,211.00
4980.00,517531.688167,5410363.013052,211.00
5010.00,517510.474964,5410341.799849,210.00
5040.00,517489.261760,5410320.586645,210.00
5070.00,517468.048557,5410299.373442,211.00
5100.00,517458.157209,5410273.470572,210.00
5130.00,517442.935851,5410249.775465,209.00
5160.00,517433.671938,5410223.612703,209.00
5190.00,517417.823145,5410200.177488,210.00
5220.00,517396.609942,5410178.964285,211.00
5250.00,517375.396738,5410157.751082,211.00
5280.00,517360.216125,5410134.039097,211.00
5310.00,517360.216125,5410104.039097,212.00
5340.00,517346.384531,5410079.768332,211.00
5370.00,517325.171327,5410058.555128,211.00
5400.00,517311.245583,5410034.323360,212.00
5430.00,517300.058621,5410008.957151,211.00
5460.00,517278.845418,5409987.743948,212.00
5490.00,517257.632215,5409966.530744,212.00
5520.00,517236.419011,5409945.317541,210.00
5550.00,517215.205808,5409924.104338,210.00
5580.00,517193.992604,5409902.891134,209.00
5610.00,517172.779401,5409881.677931,210.00
5640.00,517151.566197,5409860.464727,210.00
5670.00,517130.352994,5409839.251524,210.00
5700.00,517106.561881,5409824.261944,208.00
5730.00,517076.561881,5409824.261944,210.00
5760.00,517046.561881,5409824.261944,210.00
5790.00,517016.561881,5409824.261944,209.00
5820.00,516988.429128,5409819.754013,209.00
5850.00,516967.215924,5409798.540809,211.00
5880.00,516946.002721,5409777.327606,212.00
5910.00,516917.617947,5409777.154701,211.00
5940.00,516896.404744,5409798.367904,211.00
5970.00,516866.988275,5409799.776673,212.00
6000.00,516836.988275,5409799.776673,212.00
6030.00,516806.988275,5409799.776673,212.00
6060.00,516782.865651,5409785.587433,212.00
6090.00,516761.652447,5409764.374230,212.00
6120.00,516740.439244,5409743.161027,212.00
6150.00,516719.226040,5409721.947823,212.00
6180.00,516698.012837,5409700.734620,212.00
6210.00,516676.799634,5409679.521416,212.00
6240.00,516655.586430,5409658.308213,211.00
6270.00,516634.373227,5409637.095009,209.00
6300.00,516613.160023,5409615.881806,210.00
6330.00,516591.946820,5409594.668603,210.00
6360.00,516568.267457,5409579.409234,209.00
6390.00,516538.267457,5409579.409234,212.00
6420.00,516508.267457,5409579.409234,211.00
6450.00,516478.407727,5409579.070594,211.00
